Project Name,File Name,Method Name,Start Line,End Line,Method Code,Documentation,Code With Doc,TokenID
pyload,setup.py,initialize_options,37,38,def initialize_options(self):        pass,,def initialize_options(self):        pass,406546fa-71b4-4668-953e-d0489cbaa052
pyload,setup.py,finalize_options,40,56,"def finalize_options(self):        jinja2_version = pkg_resources.get_distribution(""jinja2"").version        if pkg_resources.parse_version(jinja2_version) < pkg_resources.parse_version(            ""3.0.0""        ):            mapping_file_version = 2        else:            mapping_file_version = 3        mapping_file = f""babel_v{mapping_file_version}.cfg""        with open(mapping_file, ""r"", encoding=""utf-8-sig"") as fp:            mapping = fp.read()        input_dirs = self.distribution.get_option_dict(""extract_messages"")[            ""input_dirs""        ][1]        self.distribution.message_extractors = {input_dirs: mapping}",,"def finalize_options(self):        jinja2_version = pkg_resources.get_distribution(""jinja2"").version        if pkg_resources.parse_version(jinja2_version) < pkg_resources.parse_version(            ""3.0.0""        ):            mapping_file_version = 2        else:            mapping_file_version = 3        mapping_file = f""babel_v{mapping_file_version}.cfg""        with open(mapping_file, ""r"", encoding=""utf-8-sig"") as fp:            mapping = fp.read()        input_dirs = self.distribution.get_option_dict(""extract_messages"")[            ""input_dirs""        ][1]        self.distribution.message_extractors = {input_dirs: mapping}",cfc0840d-4d4e-4e66-bc20-83275d9f8aa6
pyload,setup.py,_execute,58,61,"def _execute(self, func_name, cmd_list):        execute = getattr(self, func_name)        for cmd_name in cmd_list:            execute(cmd_name)",,"def _execute(self, func_name, cmd_list):        execute = getattr(self, func_name)        for cmd_name in cmd_list:            execute(cmd_name)",1a01b6da-0115-48c8-b6e4-81d62f6c0639
pyload,setup.py,run,63,74,"def run(self):        # TODO: add ""download_catalog""        commands = [""extract_messages"", ""init_catalog"", ""compile_catalog""]        if self.dry_run:            self._execute(""get_command_name"", commands)        else:            dirname = os.path.join(os.path.dirname(__file__), ""src"", ""pyload"", ""locale"")            self.mkpath(                dirname            )  # NOTE: do we have to pass dry_run value explicitly here?            self._execute(""run_command"", commands)",,"def run(self):        # TODO: add ""download_catalog""        commands = [""extract_messages"", ""init_catalog"", ""compile_catalog""]        if self.dry_run:            self._execute(""get_command_name"", commands)        else:            dirname = os.path.join(os.path.dirname(__file__), ""src"", ""pyload"", ""locale"")            self.mkpath(                dirname            )  # NOTE: do we have to pass dry_run value explicitly here?            self._execute(""run_command"", commands)",07689c7d-539b-4618-a35a-60f972fae18b
pyload,setup.py,retrieve_version,77,87,"def retrieve_version():    version = None    build = (        int(os.environ[""PYLOAD_BUILD""].strip()) if ""PYLOAD_BUILD"" in os.environ else 0    )    filename = os.path.join(os.path.dirname(__file__), ""VERSION"")    with open(filename) as fp:        version = os.environ.get(""PYLOAD_VERSION"", fp.read()).strip()    return f""{version}.dev{build}"" if build else version",,"def retrieve_version():    version = None    build = (        int(os.environ[""PYLOAD_BUILD""].strip()) if ""PYLOAD_BUILD"" in os.environ else 0    )    filename = os.path.join(os.path.dirname(__file__), ""VERSION"")    with open(filename) as fp:        version = os.environ.get(""PYLOAD_VERSION"", fp.read()).strip()    return f""{version}.dev{build}"" if build else version",1423dfae-0f3d-45c3-be6e-48fb166a56fb
pyload,__init__.py,excepthook,47,53,"def excepthook(exc_type, exc_value, exc_traceback):    if issubclass(exc_type, KeyboardInterrupt):        sys.__excepthook__(exc_type, exc_value, exc_traceback)        return    msg_list = traceback.format_exception_only(exc_type, exc_value)    exc_info = (exc_type, exc_value, exc_traceback)    exc_logger.exception(msg_list[-1], exc_info=exc_info)",,"def excepthook(exc_type, exc_value, exc_traceback):    if issubclass(exc_type, KeyboardInterrupt):        sys.__excepthook__(exc_type, exc_value, exc_traceback)        return    msg_list = traceback.format_exception_only(exc_type, exc_value)    exc_info = (exc_type, exc_value, exc_traceback)    exc_logger.exception(msg_list[-1], exc_info=exc_info)",92508ccd-aafb-40ec-805f-67b98a7a4ed7
pyload,__main__.py,_daemon,28,68,"def _daemon(core_args, pid_file=""""):    try:        pid = os.fork()        if pid > 0:            sys.exit()    except OSError as exc:        sys.stderr.write(f""fork #1 failed: {exc.errno} ({exc.strerror})\n"")        sys.exit(os.EX_OSERR)    # decouple from parent environment    os.setsid()    os.umask(0)    # do second fork    try:        pid = os.fork()        if pid > 0:            # exit from second parent, print(eventual PID before)            print(f""Daemon PID {pid}"")            sys.exit()    except OSError as exc:        sys.stderr.write(f""fork #2 failed: {exc.errno} ({exc.strerror})\n"")        sys.exit(os.EX_OSERR)    # Iterate through and close some file descriptors.    for fd in range(3):        try:            os.close(fd)        except OSError:  #: ERROR as fd wasn't open to begin with (ignored)            pass    os.open(os.devnull, os.O_RDWR)  #: standard input (0)    os.dup2(0, 1)  #: standard output (1)    os.dup2(0, 2)    if pid_file:        write_pid_file(pid_file)        atexit.register(partial(delete_pid_file, pid_file))    pyload_core = Core(*core_args)    pyload_core.start()",,"def _daemon(core_args, pid_file=""""):    try:        pid = os.fork()        if pid > 0:            sys.exit()    except OSError as exc:        sys.stderr.write(f""fork #1 failed: {exc.errno} ({exc.strerror})\n"")        sys.exit(os.EX_OSERR)    # decouple from parent environment    os.setsid()    os.umask(0)    # do second fork    try:        pid = os.fork()        if pid > 0:            # exit from second parent, print(eventual PID before)            print(f""Daemon PID {pid}"")            sys.exit()    except OSError as exc:        sys.stderr.write(f""fork #2 failed: {exc.errno} ({exc.strerror})\n"")        sys.exit(os.EX_OSERR)    # Iterate through and close some file descriptors.    for fd in range(3):        try:            os.close(fd)        except OSError:  #: ERROR as fd wasn't open to begin with (ignored)            pass    os.open(os.devnull, os.O_RDWR)  #: standard input (0)    os.dup2(0, 1)  #: standard output (1)    os.dup2(0, 2)    if pid_file:        write_pid_file(pid_file)        atexit.register(partial(delete_pid_file, pid_file))    pyload_core = Core(*core_args)    pyload_core.start()",7a98689e-e86f-4962-b46e-7d7759abd687
pyload,__main__.py,write_pid_file,71,76,"def write_pid_file(pid_file):    delete_pid_file(pid_file)    pid = os.getpid()    os.makedirs(os.path.dirname(pid_file), exist_ok=True)    with open(pid_file, ""w"") as fp:        fp.write(str(pid))",,"def write_pid_file(pid_file):    delete_pid_file(pid_file)    pid = os.getpid()    os.makedirs(os.path.dirname(pid_file), exist_ok=True)    with open(pid_file, ""w"") as fp:        fp.write(str(pid))",e4e24aaf-4201-4d51-8ce0-2a14a177d0e7
pyload,__main__.py,delete_pid_file,79,81,def delete_pid_file(pid_file):    if os.path.isfile(pid_file):        os.remove(pid_file),,def delete_pid_file(pid_file):    if os.path.isfile(pid_file):        os.remove(pid_file),0f1352aa-82b2-4ad1-acd0-cfba6b56e459
pyload,__main__.py,read_pid_file,84,95,"def read_pid_file(pid_file):        if os.path.isfile(pid_file):        with open(pid_file, ""r"") as fp:            pid = fp.read().strip()        if pid:            pid = int(pid)            return pid    else:        return 0",return pid as int or 0,"def read_pid_file(pid_file):    """""" return pid as int or 0""""""    if os.path.isfile(pid_file):        with open(pid_file, ""r"") as fp:            pid = fp.read().strip()        if pid:            pid = int(pid)            return pid    else:        return 0

return pid as int or 0",21c2db71-bc8b-4e10-9143-28aae68aa85f
